"","Summons.Number","Plate.ID","Registration.State","Plate.Type","Issue.Date","Violation.Code","Vehicle.Body.Type","Vehicle.Make","Issuing.Agency","Street.Code1","Street.Code2","Street.Code3","Vehicle.Expiration.Date","Violation.Location","Violation.Precinct","Issuer.Precinct","Issuer.Code","Issuer.Command","Issuer.Squad","Violation.Time","Time.First.Observed","Violation.County","Violation.In.Front.Of.Or.Opposite","House.Number","Street.Name","Intersecting.Street","Date.First.Observed","Law.Section","Sub.Division","Violation.Legal.Code","Days.Parking.In.Effect","From.Hours.In.Effect","To.Hours.In.Effect","Vehicle.Color","Unregistered.Vehicle.","Vehicle.Year","Meter.Number","Feet.From.Curb","Violation.Post.Code","Violation.Description","No.Standing.or.Stopping.Violation","Hydrant.Violation","Double.Parking.Violation","Latitude","Longitude","Community.Board","Community.Council","Census.Tract","BIN","BBL","NTA"
"4227",1345275754,"GDS3171","NY","PAS","08/03/2013",41,"SDN","VOLKS","S",0,40404,40404,20141025,20,20,0,922444,"KSWN","0000","0755A","","NY","F","206","ST 96 ST","",0,408,"D1","","BBBBBYB","0730A","0800A","BLUE",0,2009,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1594273",7980728944,"DGL1358","NY","PAS","09/16/2013",70,"2DSD","ME/BE","T",18740,51090,18040,20130913,102,102,102,358205,"T402","E","1112A","","Q","O","87-13","94th St","",0,408,"j3","","YYYYYYY","","","BK",NA,0,"",0,"19 -","70A-Reg. Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7941027",7280659433,"FER1701","NY","PAS","05/12/2014",20,"SUBN","DODGE","T",41930,53030,47030,20140912,79,79,79,354093,"T301","O","0903A","","K","F","491","Franklin Ave","",0,408,"d","","YYYYYYY","","","BL",NA,2008,"",0,"C 31","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3435425",7935496213,"29395MD","NY","COM","10/30/2013",38,"VAN","FORD","T",31490,27590,25090,20150331,7,7,7,358617,"T101","F","0348P","","NY","F","101","Stanton St","",0,408,"h1","","Y","0900A","0700P","WH",NA,2013,"",0,"75 -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3222937",7459950646,"FHB2348","NY","PAS","11/24/2013",19,"SUBN","FORD","T",58590,23650,23650,20150130,103,103,103,353159,"T402","J","0219P","","Q","O","90-27","Parsons Blvd","",0,408,"c3","","YYYYYYY","","","WH",NA,2010,"",0,"12 -","19-No Stand (bus stop)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3739567",7711965163,"66074JW","NY","COM","12/02/2013",69,"VAN","WORKH","T",34410,10410,13610,88888888,14,14,14,355675,"T102","G","0959A","","NY","O","24","W 32nd St","",0,408,"h1","","Y","0800A","0600P","BROWN",NA,2007,"",0,"MC -","69-Failure to Disp Muni Recpt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6405523",7991109872,"FRX9149","NY","PAS","03/04/2014",38,"4DSD","TOYOT","T",81430,5780,40930,20150914,78,78,78,358616,"T302","E","0346P","","K","O","168","Sterling Pl","",0,408,"h1","","Y","0830A","0700P","WHITE",NA,2004,"",0,"60 3","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8527846",7852142850,"XU877A","NJ","PAS","06/19/2014",14,"DELV","FRUEH","T",34730,0,0,88888888,17,17,17,353193,"T506","X","0906A","","NY","I","N","W 48th St","100ft W/of 6th Ave",0,408,"c","","YYYYYYY","","","RED",NA,0,"",0,"01 6","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5787845",7433121729,"GEF4176","NY","PAS","03/14/2014",71,"4DSD","ISUZU","T",20740,0,0,20150206,106,106,106,355712,"T402","C","0605P","","Q","I","W","114th St","45ft S/of Liberty Av",0,408,"j6","","YYYYYYY","","","GY",NA,2005,"",0,"23 4","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1609969",1348938432,"GEF5402","NY","PAS","09/29/2013",20,"SUBN","HONDA","P",70930,70630,30430,20150303,75,75,75,953819,"0075","0000","1146P","","K","F","2745","PITKIN AVE","",0,408,"F1","","BBBBBBB","ALL","ALL","GRY",0,2001,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8717317",7028192647,"EWY5711","NY","PAS","06/06/2014",14,"4DSD","LEXUS","T",49690,0,0,20160207,103,103,103,358921,"T402","R","0412P","","Q","I","S","Hillside Ave","20ft E/of 161st St",0,408,"c","","YYYYY","0400P","0700P","WH",NA,2003,"",0,"B 42","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6747256",7860977254,"XU946W","NJ","PAS","04/17/2014",14,"VAN","ME/BE","T",18290,25390,27790,88888888,19,19,19,345551,"T501","C","0917A","","NY","F","48","E 65th St","",0,408,"c","","Y","0700A","1000P","BLACK",NA,0,"",0,"01 6","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1579644",7900370183,"32717MC","NY","COM","09/04/2013",69,"FLAT","NS/OT","T",18030,10410,25390,20140430,18,18,18,353508,"T106","B","0718A","","NY","F","12","E 52nd St","",0,408,"h1","","YYYYY","0700A","0600P","GREY",NA,2005,"",0,"48 -","69-Failure to Disp Muni Recpt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"658810",7528728627,"FAC6679","NY","PAS","08/13/2013",16,"4DSD","BMW","T",23230,18630,34130,20140524,90,90,90,357044,"T301","S","0205P","","K","F","147","Broadway","",0,408,"k2","","Y","0800A","0600P","WH",NA,2010,"",0,"14 -","16A-No Std (Com Veh) Non-COM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3833220",7977119985,"UNDRTKR","NY","SRF","12/07/2013",38,"SUBN","NISSA","T",18010,10410,25390,20150718,18,18,18,356308,"T800","A2","1108P","","NY","F","5","E 51st St","",0,408,"h1","","Y","0800A","1200A","SILVE",NA,2011,"",0,"B -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7528993",7504747002,"GKD4367","NY","PAS","05/22/2014",21,"SUBN","CHEVR","T",63430,41330,69230,20150913,88,88,88,356970,"T301","D","1144A","","K","F","20","N Portland Ave","",0,408,"d1","","Y","1130A","0100P","WH",NA,2014,"",0,"J 31","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3673241",7412721483,"GHK6206","NY","PAS","12/20/2013",21,"4DSD","ME/BE","T",27270,22320,59520,20150709,48,48,48,357682,"T201","M","0816A","","BX","F","728","E 187th St","",0,408,"d1","","YY YY","0800A","0830A","BL",NA,2004,"",0,"E -","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3202667",7335588108,"EUL1852","NY","PAS","11/05/2013",16,"SUBN","SUBAR","T",18230,10410,25390,20150928,19,19,19,354164,"T103","H","0345P","","NY","O","4","E 62nd St","",0,408,"k2","","Y","0800A","0700P","TAN",NA,2009,"",0,"08 -","16A-No Std (Com Veh) Non-COM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6148036",7293101030,"EXY5793","NY","PAS","03/15/2014",38,"SUBN","ME/BE","T",28490,0,0,20160325,1,1,1,352079,"T105","M","1006A","","NY","I","E","Pearl St","35ft N/of Hanover St",0,408,"h1","","Y","1000A","1000P","BK",NA,2003,"",0,"M 99","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"680917",7618349861,"2315787","ME","PAS","08/01/2013",61,"TRLR","NS/OT","T",18990,39010,11440,88880088,110,110,110,354184,"T401","O","0235P","","Q","F","53-09","97th Pl","",0,408,"m1","","","","","BLACK",NA,0,"",0,"N -","61-Wrong Way",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8664639",4600466937,"DZK6433","NY","PAS","05/21/2014",36,"SUBN","JEEP","V",0,0,0,0,NA,0,0,0,"","","0208P","","","","","EB HORACE HRDNG EXPY",". PECK AV - FRANCS L",0,1180,"B","T","","","","BK",NA,2014,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3262527",7528339829,"FJH3424","NY","PAS","10/30/2013",16,"4DSD","HONDA","T",68930,29830,20110,20150428,84,84,84,356345,"T301","S","0302P","","K","F","225","Pacific St","",0,408,"k2","","YYYYYYY","0700A","0400P","GY",NA,2011,"",0,"05 -","16A-No Std (Com Veh) Non-COM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3709573",7578687645,"JBG4449","PA","PAS","12/02/2013",21,"4DSD","AUDI","T",40620,40404,40404,20130588,41,41,41,357730,"T202","B","0812A","","BX","F","1001","Hone Ave","",0,408,"d1","","Y  Y","0800A","0930A","GREY",NA,0,"",0,"22P","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6250912",7569751050,"AYA8029","NY","PAS","02/28/2014",21,"SUBN","FORD","T",29620,63440,58220,20151111,45,45,45,359299,"T202","B","0850A","","BX","F","3612","E Tremont Ave","",0,408,"d1","","Y","0830A","0900A","WH",NA,2012,"",0,"07A","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16923",1354691489,"T428366CC","NY","SRF","07/23/2013",46,"","LINCO","X",0,40404,40404,20131231,20,20,20,934247,"0020","0000","1203P","","NY","F","180","RIVERSISDE BLVD","",0,408,"I4","","BBBBBBB","ALL","ALL","BK",0,2005,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2452006",7727871163,"1782290","ME","PAS","10/22/2013",66,"TRLR","TRAIL","T",20730,0,0,20130088,94,94,94,341120,"T802","B","1046P","","K","I","N","Box St","60ft E/of Commercial",0,408,"k4","","","","","BLACK",NA,0,"",0,"A -","66-Detached Trailer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8607690",1367381228,"21546JT","NY","COM","06/13/2014",46,"DELV","FR/LI","P",20190,13540,13690,0,112,112,112,940458,"0112","0000","1008A","","Q","F","6514","108 ST","",0,408,"F1","","BBBBBBB","ALL","ALL","WH",0,2004,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4974207",1365151335,"HKJ182","NC","PAS","01/15/2014",40,"SDN","DODGE","P",75080,43920,21220,0,50,50,50,948880,"0050","0000","1100P","","BX","O","274","W 236 ST","",0,408,"D3","","BBBBBBB","0  :","0  :","BLACK",0,0,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9014977",7927994384,"EKM1788","NY","PAS","05/29/2014",37,"SUBN","ROVER","T",13610,0,0,20140929,20,20,20,349862,"T103","N","0207P","0149P","NY","I","W","Broadway","15ft N/of W 85th St",0,408,"h1","","Y","0830A","1000P","WH",NA,2014,"140-3134",0,"45 7","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3166946",7125795134,"FFA2593","NY","PAS","11/12/2013",14,"SUBN","CHRYS","T",20530,42730,56530,20141017,84,84,84,357357,"T301","S","0125P","","K","F","23","Bond St","",0,408,"c","","YYYYYYY","","","SILVE",NA,2014,"",0,"03 -","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2534399",7899597936,"2125609","ID","PAS","10/24/2013",18,"DELV","INTER","T",10010,17350,17370,88880088,13,13,13,355212,"T102","A","0921A","","NY","O","321","1st Ave","",0,408,"f4","","YYYYYYY","","","WHITE",NA,0,"",0,"99 -","18-No Stand (bus lane)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4506738",7819379492,"WTB7609","VA","PAS","12/31/2013",14,"4DSD","NISSA","T",51090,23140,23190,20150588,103,103,103,358895,"T402","C","0417P","","Q","F","148-17","Jamaica Ave","",0,408,"c","","YYYYY","0400P","0700P","WHITE",NA,0,"",0,"10 -","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1225221",1354328772,"FXK1497","NY","PAS","08/16/2013",91,"SDN","NISSA","P",0,0,0,20150428,106,106,106,949306,"0106","0000","0105A","","Q","O","","C/O 109 STREET","107 AVE",0,408,"F2","","BBBBBBB","ALL","ALL","BLK",0,0,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5917683",7935525330,"3318203","NH","PAS","03/08/2014",38,"SUBN","CHRYS","T",26990,21690,13810,20150188,5,5,5,358617,"T101","F","0350P","","NY","F","165","Mulberry St","",0,408,"h1","","Y","0830A","1000P","BLUE",NA,0,"",0,"50 1","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5605415",1366034636,"GJB4231","NY","PAS","03/04/2014",19,"SUBN","FORD","P",76950,65320,26610,20150918,41,41,41,931049,"0041","0000","0318P","","BX","F","1042","WESTCHESTER AVE","",0,408,"K4","","BBBBBBB","ALL","ALL","RED",0,2004,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"666227",7579489405,"AN393U","NJ","PAS","08/21/2013",84,"DELV","GMC","T",17450,10110,10010,88880088,13,13,13,356356,"T102","A","0658A","","NY","O","324","E 23rd St","",0,408,"k7","","","","","WHITE",NA,0,"",0,"99 -","84-Platform lifts in low posit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4691864",7126769027,"DBU5479","NY","PAS","01/10/2014",20,"SUBN","SCION","T",8940,59990,10440,88888888,110,110,110,331965,"T401","N","0236P","","Q","F","45-36","37th St","",0,408,"d","","YYYYY","0800A","0600P","GREY",NA,0,"",0,"E-PM","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2118256",5071086074,"FTG4488","NY","PAS","10/08/2013",7,"4DSD","INFIN","V",0,0,0,0,NA,0,0,0,"","","1204P","","","","","EASTERN PKWY(W/B)@HO","WARD AVE.-KT-3",0,1111,"D","T","","","","GY",NA,2006,"",0,"","FAILURE TO STOP AT RED LIGHT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"725667",7782341577,"DSE3483","NY","PAS","08/01/2013",21,"SUBN","CHEVR","T",23180,8990,61090,20140803,109,109,109,358634,"T401","D","1106A","","Q","O","38-32","149th Pl","",0,408,"d1","","Y","1100A","1230A","GREEN",NA,2004,"",0,"05 -","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1089206",7717107004,"DYA4181","NY","PAS","09/03/2013",37,"SUBN","NISSA","T",25390,18770,18790,20150124,19,19,19,358626,"T103","R","0558P","0550P","NY","F","1246","Madison Ave","",0,408,"h1","","Y","0900A","0700P","BL",NA,2013,"127-4710",0,"CC1","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215961",7489960605,"95908MB","NY","COM","08/07/2013",38,"VAN","CHEVR","T",10210,18820,18830,88888888,19,19,19,355113,"T103","O","0307P","","NY","O","1651","3rd Ave","",0,408,"h1","","Y","0800A","0700P","WHITE",NA,2011,"",0,"20 -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8970807",7767850456,"ETF4946","NY","PAS","05/29/2014",14,"SUBN","JEEP","T",34100,15320,43935,20150720,122,122,122,357677,"T303","E","0544P","","R","F","2716","Hylan Blvd","",0,408,"c","","YYYYYYY","","","WHITE",NA,2012,"",0,"03-P","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295018",7792596886,"H71BTZ","NJ","PAS","08/27/2013",38,"SUBN","KIA","T",22740,11640,36400,88888888,109,109,109,357096,"T401","A","0820A","","Q","O","56-21","141st St","",0,408,"h1","","Y","0800A","1000P","BLUE",NA,0,"",0,"02-A","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4198776",1360614874,"GJZ3617","NY","PAS","01/13/2014",21,"SDN","VOLVO","T",31530,41930,77530,20151128,79,79,0,921396,"KN03","0000","0750A","","K","F","490","DEKALB AVE","",0,408,"D1","","YYYYYYB","0730A","0800A","WHITE",0,0,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4642830",7036500335,"FWD8701","NY","PAS","01/28/2014",51,"4DSD","BUICK","T",19140,26440,26490,20140206,105,105,105,353104,"T402","R","0316P","","Q","F","212-37","99th Ave","",0,408,"e3","","","","","GR",NA,1992,"",0,"J -","51-Sidewalk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6500464",7004958966,"GGC2955","NY","PAS","04/23/2014",38,"SUBN","JEEP","T",59990,9490,9640,20150531,108,108,108,359322,"T401","A","0824A","","Q","F","40-06","Queens Blvd","",0,408,"h1","","Y","0800A","0400P","BLACK",NA,2014,"",0,"38-A","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6564309",7143582931,"GFT5177","NY","PAS","04/10/2014",21,"4DSD","VOLKS","T",9490,47990,10790,20150326,108,108,108,357087,"T401","D","1148A","","Q","F","48-30","40th St","",0,408,"d1","","Y","1130A","0100P","BL",NA,2011,"",0,"37 4","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5457172",7440740488,"CSC8727","NY","PAS","02/24/2014",20,"PICK","DODGE","T",58590,13540,51590,20151006,107,107,107,358116,"T402","P","0446P","","Q","O","67-30","Parsons Blvd","",0,408,"d","","YYYYY","0800A","0500P","BK",NA,2010,"",0,"E 42","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7493970",7304384785,"GPC7348","NY","PAS","05/10/2014",38,"SUBN","ROVER","T",10210,18470,18490,20140609,19,19,19,357767,"T103","Q","0331P","","NY","F","1303","3rd Ave","",0,408,"h1","","Y","0900A","0700P","BLACK",NA,2014,"",0,"08 7","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3348248",7783902080,"ARE8174","NY","PAS","11/20/2013",37,"SUBN","DODGE","T",10440,10540,10640,20150928,108,108,108,357765,"T401","Q","1212P","1201P","Q","F","47-06","47th Ave","",0,408,"h1","","Y","0900A","0700P","SILVE",NA,2001,"401-3059",0,"36 -","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3585869",7094445040,"GAK4939","NY","PAS","12/20/2013",40,"SUBN","GMC","T",5280,17380,68730,20140927,68,68,68,345428,"T802","A","1110P","","K","F","6909","3rd Ave","",0,408,"e2","","YYYYYYY","","","WH",NA,2002,"",7,"18 -","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"702393",7713758811,"FCM8047","NY","PAS","08/05/2013",71,"2DSD","INFIN","T",18540,0,0,20140402,105,105,105,343912,"T402","L","0606A","","Q","I","N","93rd Ave","80ft W/of 201st St",0,408,"j6","","YYYYYYY","","","WH",NA,2004,"",0,"J -","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1762625",7138167313,"49754JG","NY","COM","10/28/2013",14,"VAN","INTER","T",13610,29390,16850,88888888,1,1,1,358875,"T105","D","1231P","","NY","O","299","Broadway","",0,408,"c","","YYYYYYY","","","BROWN",NA,1997,"",0,"103","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3239998",7370448502,"FPP8818","NY","OMS","11/05/2013",31,"4DSD","HONDA","T",34530,10610,10810,20140930,14,14,14,330571,"T108","H","0403P","","NY","F","262","W 38th St","",0,408,"l3","","YYYYY","0600A","0700P","BL",NA,2012,"",0,"01 -","31-No Stand (Com. Mtr. Zone)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1782960",7230337409,"JFW7128","PA","PAS","09/30/2013",20,"4DSD","HONDA","T",30930,67030,64830,20140888,71,71,71,348493,"T302","C","1245P","","K","O","299","Crown St","",0,408,"d","","YYYYYYY","0700A","0400P","TAN",NA,0,"",0,"16 -","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"566360",7145067330,"FSR5698","NY","OMS","08/23/2013",21,"SUBN","FORD","T",78430,95030,19530,20130930,90,90,90,337779,"T301","A","0907A","","K","F","74","S 4th St","",0,408,"d1","","Y  Y","0900A","1030A","BK",NA,2013,"",0,"14 -","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4692207",7139892854,"EHC4354","NY","PAS","01/15/2014",21,"2DSD","TOYOT","T",41490,68690,14240,20140506,112,112,112,340066,"T401","M","0952A","","Q","F","67-123","Dartmouth St","",0,408,"d1","","Y","0930A","1100A","BL",NA,2008,"",0,"K -","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3994115",7163074608,"CPLOFT","NY","SRF","12/12/2013",71,"SUBN","JEEP","T",34100,15320,43935,20140528,122,122,122,343000,"T303","E","0613P","","R","F","2735","Hylan Blvd","",0,408,"j6","","YYYYYYY","","","WH",NA,2013,"",0,"03-P","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4578474",1360434460,"14874MB","NY","COM","12/11/2013",20,"VAN","INTER","P",44890,13810,30790,20150731,1,1,1,944150,"0001","0000","1257P","","NY","F","380","WEST BROADWAY","",0,408,"D","","YYYYYBB","0800A","0600P","WHITE",0,2010,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6551918",7098963550,"U801GV","NY","PAS","04/24/2014",38,"4DSD","BMW","T",61890,59890,39890,20160107,104,104,104,358644,"T401","R","0122P","","Q","F","811","Seneca Ave","",0,408,"h1","","Y","0800A","0700P","BL",NA,2001,"",0,"M 41","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4226494",4002126067,"GHV9564","NY","PAS","11/12/2013",5,"SUBN","CHRYS","V",0,0,0,0,NA,0,0,0,"","","0449P","","","","","WB FORDHAM RD @ SEDG","WICK AVE",0,1111,"C","T","","","","GY",NA,2004,"",0,"","BUS LANE VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5709497",7128610212,"R689XK","FL","PAS","03/06/2014",21,"SUBN","HYUND","T",5280,11280,11330,20140888,68,68,68,332960,"T302","M","0807A","","K","F","9415","3rd Ave","",0,408,"d1","","Y","0800A","0830A","GREY",NA,0,"",0,"E 32","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"775231",7913947160,"16416PB","NY","IRP","08/05/2013",77,"BUS","NS/OT","T",9440,59590,54580,20140131,109,109,109,356500,"T401","M","0258P","","Q","O","135-11","40th Rd","",0,408,"m5","","","","","SILVE",NA,2007,"",0,"A -","77-Parked Bus (exc desig area)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6982003",7095377145,"2208628","IN","PAS","03/31/2014",19,"DELV","STERL","T",10110,18610,18630,20140288,19,19,19,354043,"T103","G","0831A","","NY","F","1575","2nd Ave","",0,408,"c3","","YYYYYYY","","","WHITE",NA,0,"",0,"19 7","19-No Stand (bus stop)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1694921",7004165814,"45279MD","NY","COM","10/15/2013",14,"VAN","INTER","T",61390,40404,40404,20131231,109,109,109,358175,"T401","E","0851A","","Q","F","14-15","Sanford Ave","",0,408,"c","","YYYYYYY","","","WHITE",NA,2013,"",0,"02 -","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8093822",7846382652,"11940JY","NY","COM","05/12/2014",19,"VAN","CHEVR","T",34230,10910,11010,88888888,10,10,10,355186,"T102","J","0229P","","NY","O","410","W 23rd St","",0,408,"c3","","YYYYYYY","","","WHITE",NA,2003,"",0,"99 6","19-No Stand (bus stop)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8730306",7069106622,"BRM9474","NY","PAS","06/23/2014",37,"SUBN","FORD","T",10410,18990,19010,20160612,23,23,23,354084,"T103","L","0809P","0759P","NY","O","1200","5th Ave","",0,408,"h1","","Y","0900A","1000P","BK",NA,2003,"134-8093",0,"CC2","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7218649",7814369952,"29419MD","NY","COM","04/15/2014",38,"VAN","FORD","T",10210,18610,18630,20150228,19,19,19,358635,"T103","P","0119P","","NY","F","1441","3rd Ave","",0,408,"h1","","Y","0900A","0700P","WH",NA,2013,"",0,"19 7","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5117974",7295471753,"GDP3497","NY","PAS","01/30/2014",21,"SUBN","HONDA","T",9280,5880,5980,20141227,66,66,66,352979,"T302","Q","1004A","","K","F","858","54th St","",0,408,"d1","","Y","0930A","1100A","GR",NA,2005,"",0,"S -","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1454856",7515977565,"13277TC","NY","TRA","09/06/2013",40,"DELV","KENWO","T",0,0,0,20131031,88,88,88,358160,"T301","G","0115P","","K","I","N","Flatbush Ave Exten","40ft E/of Dekalb Ave",0,408,"e2","","YYYYYYY","","","RED",NA,2012,"",0,"06 -","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3976547",7114294426,"FXM7109","NY","PAS","12/16/2013",20,"SUBN","FORD","T",18370,10110,10010,20150531,19,19,19,357722,"T103","E","1113A","","NY","O","333","E 69th St","",0,408,"d","","YYYYYYY","","","WH",NA,2003,"",0,"03 -","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337541",7883958689,"41676JM","NY","COM","07/31/2013",14,"VAN","CHEVR","T",34470,13610,10610,88888888,14,14,14,332133,"T106","H","0945A","","NY","F","147","W 35th St","",0,408,"c","","YYYYYYY","","","WHITE",NA,1994,"",0,"21 -","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8782486",7128635828,"AMH9487","NY","PAS","06/19/2014",21,"2DSD","HONDA","T",10930,0,0,20150622,68,68,68,332960,"T302","M","0844A","","K","I","S","87th St","60ft W/of Narrows Av",0,408,"d1","","Y","0830A","1000A","RED",NA,2003,"",0,"E 32","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6856421",1366154630,"97005TE","NY","COM","03/27/2014",74,"DELV","CHEVR","P",17830,10210,10110,0,17,17,17,933057,"0017","0000","0350P","","NY","F","220","E 42ND STREET","",0,408,"C","","BBBBBBB","ALL","ALL","",0,0,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7713427",1365743720,"FMJ6002","NY","PAS","04/28/2014",71,"SDN","HONDA","P",44710,21452,16100,20150603,123,123,123,944862,"0123","0000","0347A","","R","F","130","RENSSELAER AVE","",0,408,"J2","","BBBBBBB","ALL","ALL","BLK",0,2011,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8000496",7536587363,"AM354T","NJ","PAS","05/27/2014",48,"DELV","INTER","T",45130,58330,44930,88888888,90,90,90,357362,"T301","Y","0935A","","K","F","697","Grand St","",0,408,"e9","","","","","WHITE",NA,0,"",0,"SPCL","48-Bike Lane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
